label,id,date,query,user,description,flag
0,1467816665,Mon Apr 06 22:21:21 PDT 2009,NO_QUERY,jsoo,@HumpNinja I cry my asian eyes to sleep at night ,1
0,1467818603,Mon Apr 06 22:21:49 PDT 2009,NO_QUERY,kennypham,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",1
0,1467822389,Mon Apr 06 22:22:47 PDT 2009,NO_QUERY,HybridMink,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",1
0,1467861095,Mon Apr 06 22:32:54 PDT 2009,NO_QUERY,bluepaintred,too worried and tired to post tonight ,1
0,1467863716,Mon Apr 06 22:33:35 PDT 2009,NO_QUERY,stacyc37,sad that the 'feet' of my macbook just fell off ,1
0,1467951252,Mon Apr 06 22:57:54 PDT 2009,NO_QUERY,kirstenmaree,@nicolerichie I cried so hard when Matthew died ,1
0,1467951422,Mon Apr 06 22:57:57 PDT 2009,NO_QUERY,felloff,sad that the 'feet' of my macbook just fell off : sad that the 'feet' of my macbook just fell off ,1
0,1467980858,Mon Apr 06 23:06:08 PDT 2009,NO_QUERY,Casey_Szulc,sad day: manu out for the season ,1
0,1467982606,Mon Apr 06 23:06:38 PDT 2009,NO_QUERY,shesaywat,@JustGelo Its sad knowing how they found her body. What a crazy world we live in. No child deserves that ya know. ,1
0,1467994419,Mon Apr 06 23:10:05 PDT 2009,NO_QUERY,caityisawinner,@PlayRadioPlay that was so sad and unexpected.  i totally cried haha.,1
0,1468012099,Mon Apr 06 23:15:14 PDT 2009,NO_QUERY,MaddiganROSE,crying  my friend is moving away tomorrow ,1
0,1468018354,Mon Apr 06 23:17:05 PDT 2009,NO_QUERY,courtneyjayne88,I am worried that I won't get my $900 even though I paid a buttload of tax last year ! ,1
0,1468031805,Mon Apr 06 23:21:13 PDT 2009,NO_QUERY,OhMyChristine,@yaykimo It's sad it's the last season.  I wanna see when Spencer calls Lauren!,1
0,1468032622,Mon Apr 06 23:21:30 PDT 2009,NO_QUERY,BreThayer,Sad about Kutner being killed off my fav show House! ,1
0,1468034417,Mon Apr 06 23:22:05 PDT 2009,NO_QUERY,raciedo,it so tired that im crying for no reason at all. im about to try to get an hour and a half in for tonight. half what i got last night. ,1
0,1468040050,Mon Apr 06 23:23:55 PDT 2009,NO_QUERY,Nessie,@mattycus  *cry* ,1
0,1468041919,Mon Apr 06 23:24:31 PDT 2009,NO_QUERY,gi_gi_bee,"@RumLover An empty rum barrel is a sad rum barrel. *shakes head* the horror, the horror.  ",1
0,1468052063,Mon Apr 06 23:27:40 PDT 2009,NO_QUERY,CourtneyCuomo,@Kal_Penn I am so sad  Kutner was my favorite of the new team!!,1
0,1468063614,Mon Apr 06 23:31:06 PDT 2009,NO_QUERY,Sallyroberts,@graemearcher I am sad about Innocent selling out too! ,1
0,1468070639,Mon Apr 06 23:33:19 PDT 2009,NO_QUERY,totallydi,is sad she has lost her HN arm band...it just disappeared ,1
0,1468080181,Mon Apr 06 23:36:16 PDT 2009,NO_QUERY,grimorde,Very tired this morning - no idea why! Great start to the day ,1
0,1468112535,Mon Apr 06 23:46:56 PDT 2009,NO_QUERY,lydkwan,is crying inside. Please oh please let it rain  so warm.,1
0,1468122865,Mon Apr 06 23:50:21 PDT 2009,NO_QUERY,sylvestor,@dra6on now I am sad cos u r sad ,1
0,1468163233,Tue Apr 07 00:03:37 PDT 2009,NO_QUERY,hayfa,Too tired to leave bed. ,1
0,1468170306,Tue Apr 07 00:05:53 PDT 2009,NO_QUERY,del3ose,I cried when I heard the girl from Tracy was found today. It was soooo sad   May god bless Sandra Cantu.,1
0,1468173601,Tue Apr 07 00:06:56 PDT 2009,NO_QUERY,ruddyard,"How sad, I did not know Andy Hallet died  http://tinyurl.com/dhq7xv",1
0,1468190029,Tue Apr 07 00:12:13 PDT 2009,NO_QUERY,apester07,"Lonely bed, no husband. ",1
0,1468203908,Tue Apr 07 00:16:50 PDT 2009,NO_QUERY,brea16,tired but cant sleep............. ,1
0,1468249786,Tue Apr 07 00:32:30 PDT 2009,NO_QUERY,anacarmela,is sad because there was another earthquake in italy.. ,1
0,1468249787,Tue Apr 07 00:32:30 PDT 2009,NO_QUERY,johankool,@wilshipley  I am sad... the Dutch localization in DL2 is bad... it's incomplete and has too many truncations...,1
0,1468252189,Tue Apr 07 00:33:20 PDT 2009,NO_QUERY,CocktailChic,@jacvanek What a sad thought if it isnt!  &lt;3 CC,1
0,1468263326,Tue Apr 07 00:37:11 PDT 2009,NO_QUERY,TC_President,tired  i need a regular 9-5,1
0,1468267411,Tue Apr 07 00:38:37 PDT 2009,NO_QUERY,saragwin,@msJodiOdie its such a sad situation. Though 1-in-3 of us will be beaten. In US every 15 seconds &amp; 3 killed a day. It's sadly commonplace ,1
0,1468289029,Tue Apr 07 00:46:12 PDT 2009,NO_QUERY,HeidiJMess,SO tired but can't sleep ,1
0,1468318009,Tue Apr 07 00:56:33 PDT 2009,NO_QUERY,CareyMetcalfe,is sad that the march break is over ,1
0,1468329221,Tue Apr 07 01:00:32 PDT 2009,NO_QUERY,stblank,Depressed. Our new app's Alpha 0.0.10 is now even more complex than our last app's version 9.5. I long for those  small dev teams days.  ,1
0,1468339331,Tue Apr 07 01:04:04 PDT 2009,NO_QUERY,Soveperser,is tired of flowchart Kens ,1
0,1468360192,Tue Apr 07 01:11:40 PDT 2009,NO_QUERY,kyrabeth,is tired ,1
0,1468411208,Tue Apr 07 01:30:14 PDT 2009,NO_QUERY,vincelol,tired and borrrrrred this vacation  sooooooo hot,1
0,1468441009,Tue Apr 07 01:41:14 PDT 2009,NO_QUERY,samsworldofno,@phillColeman I had it as low as 3.5 last night ,1
0,1468447848,Tue Apr 07 01:43:48 PDT 2009,NO_QUERY,nolleee,has insomnia and a headache ,1
